state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1993-11-20,Parts per million,None,24,100.0,1.458333,3.0,20,,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-21
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2009-11-14,Parts per million,None,23,96.0,0.286957,0.6,21,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-11
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2012-12-26,Parts per million,None,23,96.0,0.343478,0.5,9,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-08
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2008-03-06,Parts per million,None,24,100.0,0.7,1.0,23,11,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-11
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1997-10-18,Parts per million,None,24,100.0,0.8625,1.1,10,13,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-16
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2000-12-06,Parts per million,None,23,96.0,1.278261,2.1,17,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-15
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1995-08-10,Parts per million,None,24,100.0,0.441667,0.5,10,6,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-27
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2011-12-29,Parts per million,None,23,96.0,0.378261,0.6,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-10
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2013-05-09,Parts per million,None,24,100.0,0.216667,0.3,18,3,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-08
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2008-05-26,Parts per million,None,24,100.0,0.3,0.3,0,3,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-11
